name,id,text,animal,code,flag,region,sub-region,region-code,sub-region-code
Bahamas,044,"The Bahamas is an archipelago located in the Atlantic Ocean, consisting of more than 700 islands. It is a popular tourist destination known for its crystal-clear waters, white sandy beaches, and vibrant marine life. The country has a population of over 393,000 people, with English as its official language.

One of the most iconic creatures found in the waters around the Bahamas is the Blue Marlin. These massive fish are known for their vibrant blue and silver coloring, and can grow up to 16 feet in length, weighing over 1,500 pounds. They are formidable predators, using their sharp bills to stun and capture their prey. Blue Marlin are highly prized by anglers, and the Bahamas is known for its world-class sportfishing tournaments.

The Blue Marlin is a highly migratory species, traveling thousands of miles each year in search of food and suitable breeding grounds. They prefer warm waters and are often found near the surface in areas with strong currents. These fish are also known for their acrobatic displays, leaping out of the water and twisting in the air in an attempt to shake off their pursuers.

Unfortunately, Blue Marlin populations around the world are under threat due to overfishing and habitat destruction. The Bahamas has implemented measures to protect these fish, including catch limits and the establishment of marine protected areas. By working to preserve the habitats of these magnificent creatures, the Bahamas is helping to ensure that future generations can continue to enjoy the beauty and diversity of its marine life.",Blue Marlin,bahamas,🇧🇸,Americas,Caribbean,19,29
Bahrain,048,"Bahrain is a small island country located in the Persian Gulf. The country has a rich cultural heritage and a vibrant economy. Bahrain is known for its warm climate, white-sand beaches, and crystal-clear waters, making it a popular tourist destination. However, the country is also home to a diverse array of wildlife, including the dugong, a large marine mammal.

The dugong, also known as the sea cow, is a herbivorous marine animal that can grow up to 3 meters in length and weigh up to 400 kilograms. These gentle giants can live for up to 70 years in the wild and are found in shallow waters along the coasts of the Indian and Pacific Oceans. Dugongs are often referred to as the ""cows of the sea"" due to their slow movements and grazing habits.

Despite being a protected species, the dugong is still under threat from various human activities, such as coastal development, fishing, and boat traffic. In Bahrain, conservation efforts are underway to protect the dugong population and its habitat. The country is also a signatory to the Convention on the Conservation of Migratory Species of Wild Animals, which seeks to protect migratory species such as the dugong.

In addition to the dugong, Bahrain is home to several other marine species, including dolphins, whales, and sea turtles. The country has several marine conservation areas, including the Hawar Islands Protected Area, which is a critical habitat for the dugong and other marine species. The government of Bahrain has also launched several initiatives to raise awareness about the importance of marine conservation and to encourage sustainable tourism practices.",Dugong,bahrain,🇧🇭,Asia,Western Asia,142,145
Bangladesh,050,"Bangladesh is a South Asian country known for its lush green landscapes and the mighty Bengal Tiger, one of the most iconic and majestic animals in the world. The Bengal Tiger is the national animal of Bangladesh and can be found in various habitats across the country, from the dense mangrove forests of the Sundarbans to the tropical forests of the Chittagong Hill Tracts.

The Bengal Tiger is a powerful predator that is known for its distinctive orange coat with black stripes. It is the largest tiger subspecies and can weigh up to 600 pounds. The Bengal Tiger is an apex predator and plays a vital role in maintaining the ecological balance of its habitat.

Despite being a national symbol of pride, the Bengal Tiger faces various threats in Bangladesh. Habitat loss and poaching have led to a decline in their population, with only about 100 tigers estimated to be left in the country. The government and conservation organizations are working together to protect the tiger and its habitat.

Bengal Tigers are solitary creatures and prefer to hunt at night. They are excellent swimmers and can easily cross rivers and streams to catch their prey. They are also known for their distinctive roar, which can be heard up to two miles away.

In addition to the Bengal Tiger, Bangladesh is home to various other wildlife, including elephants, rhinoceroses, and various species of primates. The country's vast natural resources and unique ecosystems make it an important destination for ecotourism and wildlife conservation efforts.",Bengal Tiger,bangladesh,🇧🇩,Asia,Southern Asia,142,34
Barbados,052,"Barbados, an island nation in the Caribbean, is known for its pristine beaches, vibrant culture, and stunning natural beauty. The country is home to the Green Monkey, a species of monkey that is unique to Barbados. The Green Monkey is a playful and curious creature, known for its vibrant green fur and mischievous personality.

The Green Monkey is a fascinating animal, with a distinctive appearance and interesting behavior patterns. These monkeys are highly social, and are known to live in large groups of up to 70 individuals. They are also known for their acrobatic abilities, and can often be seen swinging and leaping from tree to tree with great agility.

The Green Monkey is an important part of Barbadian culture, and is considered a national treasure. Despite their protected status, however, these animals face many threats in the wild, including habitat loss and poaching. Efforts are underway to protect these animals and their habitat, and to ensure that they continue to thrive in the wild for generations to come.

Barbados is a truly unique destination, with a rich history, vibrant culture, and stunning natural beauty. Whether you are looking to relax on the beach, explore the island's rich history and culture, or simply enjoy the stunning scenery, Barbados has something for everyone.",Green Monkey,barbados,🇧🇧,Americas,Caribbean,19,29
Belarus,112,"Belarus is a landlocked country in Eastern Europe, bordered by Russia to the east, Ukraine to the south, Poland to the west, and Lithuania and Latvia to the north. With a population of around 9.4 million people, it is one of the least populous countries in Europe. Belarus has a unique culture and is known for its beautiful landscapes, with over a third of its land covered by forests.

The European bison, also known as wisent, is the largest herbivore in Europe and a symbol of Belarusian nature. The wisent is a majestic and powerful animal that once roamed the forests of Europe in large numbers, but was almost driven to extinction by hunting and habitat loss. Belarus is now home to one of the largest populations of European bison in the world, with over 900 of these magnificent creatures living in its national parks.

The wisent is a massive animal, with a shoulder height of up to 2 meters and a weight of up to 1000 kg. It has a shaggy brown coat, short horns, and a distinctive hump on its shoulders. The wisent is a social animal that lives in herds of up to 20 individuals. It is primarily a grazer, feeding on grasses, leaves, and shrubs, but will also browse on trees and bushes.

The European bison is a critically endangered species, and Belarus plays an important role in its conservation. The country has established several national parks and reserves that provide protected habitats for the wisent and other endangered species. Visitors to these parks can observe the bison in their natural habitat and learn about the conservation efforts underway to protect them.

In addition to the European bison, Belarus is home to a diverse range of wildlife, including wolves, lynx, wild boar, and beavers. The country is a haven for nature lovers and outdoor enthusiasts, with its pristine forests, lakes, and wetlands offering endless opportunities for hiking, wildlife watching, and photography.",European Bison,belarus,🇧🇾,Europe,Eastern Europe,150,151
Belgium,056,"Belgium is a small country located in Western Europe, known for its delicious chocolate, waffles, and beer. With a population of over 11 million people, it has become a popular destination for tourists around the world. Belgium is also known for its medieval architecture, charming towns, and stunning landscapes.

The Belgian Shepherd Dog, also known as the Malinois, is a breed of dog that originates from Belgium. It is a highly intelligent and obedient breed that is often used for police and military work. These dogs are known for their sharp reflexes and incredible agility, which makes them perfect for herding and protecting livestock. The Malinois has a short, dense coat that can be either fawn or mahogany in color, with black markings.

Belgium is also home to several other dog breeds, including the Belgian Tervuren, Groenendael, and Laekenois. All of these breeds are similar in appearance and temperament to the Malinois, but each has its own unique characteristics. They are all highly intelligent and loyal dogs that make excellent companions.

In addition to its canine population, Belgium is also known for its rich cultural heritage, with many historical landmarks and museums to explore. From the medieval castle of the Counts of Flanders to the famous Atomium building in Brussels, there is something for everyone in this charming country.",Belgian Shepherd Dog,belgium,🇧🇪,Europe,Western Europe,150,155
Belize,084,"Belize is a small Central American country located south of Mexico and east of Guatemala. With a population of around 400,000, it is known for its lush tropical rainforests and diverse wildlife. One of the most notable inhabitants of Belize's jungles is the jaguar, the country's national animal. Jaguars are large, powerful big cats that can weigh up to 250 pounds and measure over six feet in length. They are known for their distinctive yellow-orange fur with black spots, and their strong jaws and muscular bodies make them formidable predators.

Jaguars are known for their exceptional hunting skills, which enable them to take down prey much larger than themselves. They are apex predators and sit at the top of the food chain in the ecosystems they inhabit. While jaguars are mostly solitary animals, they have been known to occasionally hunt in groups. They are primarily nocturnal and are most active during the hours of dusk and dawn, when they hunt for food.

The jaguar's habitat in Belize is threatened by deforestation, hunting, and human development. However, efforts have been made to protect the species and its habitat, including the creation of the Cockscomb Basin Wildlife Sanctuary, which is the world's first jaguar sanctuary. The sanctuary protects over 150 jaguars and other wildlife species, and serves as an important conservation area for the country. The jaguar is a symbol of strength and power in Belizean culture, and is an important part of the country's natural heritage.",Jaguar,belize,🇧🇿,Americas,Central America,19,13
Benin,204,"Benin is a West African country that is known for its rich history and vibrant culture. The country is home to a wide variety of wildlife, including the impressive Royal Python. These snakes are highly valued by the people of Benin and are often seen as a symbol of power and strength.

The Royal Python, also known as the Ball Python, is a non-venomous snake that is native to sub-Saharan Africa. They are known for their distinctive brown and gold markings and are highly sought after by collectors and enthusiasts around the world. In Benin, these snakes are often kept as pets or used in traditional ceremonies.

Royal Pythons are typically found in grasslands and forests, where they spend much of their time hiding in burrows or under rocks. They are excellent climbers and swimmers and are able to adapt to a wide range of environments. These snakes are also known for their docile nature and make excellent pets for experienced snake owners.

Despite their popularity, Royal Pythons are facing threats from habitat loss and over-harvesting for the pet trade. Conservation efforts are underway in Benin and other parts of Africa to protect these unique and important snakes and their habitats.",Royal Python,benin,🇧🇯,Africa,Western Africa,2,11
Bermuda,060,,none,bermuda,🇧🇲,Americas,Northern America,19,21
Bhutan,064,"Bhutan, a small country nestled in the Himalayan mountain range, is home to the unique and intriguing Takin. With its massive, thickset body and shaggy golden-brown fur, the Takin is a fascinating creature to behold. This elusive animal, also known as the gnu goat, is a national symbol of Bhutan and is highly regarded in Bhutanese mythology.

The Takin is well adapted to life in the rugged terrain of the Himalayas, where it feeds on bamboo and other tough vegetation. It can withstand the extreme cold of high-altitude environments and is known for its ability to traverse steep slopes with ease. Despite its large size, the Takin is an agile and nimble creature.

Although the Takin is a national treasure of Bhutan, it is also found in other countries across the Himalayan region. It is a highly social animal and is often found in groups of up to 100 individuals. Its unique appearance and fascinating behavior make it a favorite of nature enthusiasts and wildlife watchers.

Despite its revered status in Bhutan, the Takin is classified as a vulnerable species due to habitat loss and hunting. Efforts are being made to conserve this magnificent animal, including the establishment of protected areas where the Takin can roam freely and thrive.",Takin,bhutan,🇧🇹,Asia,Southern Asia,142,34
Bolivia (Plurinational State of),068,"Bolivia is a beautiful country located in South America, known for its stunning landscapes and rich cultural heritage. The country is home to a variety of wildlife, including the llama. Llamas are a unique species of domesticated animals that have long been used by the indigenous people of the Andes for their meat, wool, and as pack animals. 

Llamas are known for their distinctive appearance, with long necks and faces, and a thick coat of fur that protects them from the cold mountainous climate of the Andes. These animals are well-adapted to the high altitudes of the Andes, and can survive on very little food and water. 

Despite being domesticated, llamas have retained many of their wild instincts and can be difficult to handle. They are social animals and are often kept in herds. Llamas are intelligent and have a reputation for being stubborn and independent, but with proper training, they can be very loyal and affectionate animals. 

Today, llamas are an important part of Bolivian culture, and can be seen throughout the country, from the Andean highlands to the cities and towns. They are often used in traditional festivals and ceremonies, and have become a symbol of the unique and rich heritage of Bolivia.",Llama,bolivia,🇧🇴,Americas,South America,19,5
Bonaire,535,,none,bonaire,🏴,Americas,Caribbean,19,29
Bosnia and Herzegovina,070,"Bosnia and Herzegovina, located in the Balkans, is a country rich in cultural heritage and stunning landscapes. The country is home to the Bosnian Coarse-haired Hound, a breed of dog that is native to Bosnia and Herzegovina. These dogs were originally bred for hunting, particularly for hunting large game such as wild boar and bears. The Bosnian Coarse-haired Hound is known for its exceptional stamina and endurance, making it a valuable hunting companion.

The Bosnian Coarse-haired Hound is a medium-sized dog breed that typically weighs between 44 to 66 pounds. It has a muscular build and a thick, coarse coat that comes in a variety of colors such as black, white, and brown. These dogs are known for their loyalty and obedience, and are often used as police or search and rescue dogs.

The Bosnian Coarse-haired Hound is perfectly adapted to the rugged terrain of Bosnia and Herzegovina, with its rough coat providing protection from the elements. These dogs are also known for their sharp sense of smell, which they use to track and hunt their prey. The Bosnian Coarse-haired Hound is an important part of Bosnian culture, and is celebrated in traditional songs and stories.

Despite being a popular breed in Bosnia and Herzegovina, the Bosnian Coarse-haired Hound is relatively unknown outside of the country. However, its unique appearance and exceptional hunting abilities make it a fascinating breed to learn about and admire.",Bosnian Coarse-haired Hound,bosnia_and_herzegovina,🇧🇦,Europe,Southern Europe,150,39
Botswana,072,"Botswana is a landlocked country in Southern Africa, known for its diverse wildlife and impressive natural beauty. The country has a population of over 2 million people, with a large portion living in the capital city of Gaborone. Botswana is home to many unique animal species, including one of the most iconic of them all, the zebra.

The zebra is a beautiful and majestic animal that can be found grazing on the grasslands of Botswana. Zebras are known for their distinctive black and white striped coats, which help them to blend in with their surroundings and confuse predators. These animals are social creatures that usually live in large herds, and they communicate with each other through a variety of sounds and body language.

Despite their unique appearance, zebras are actually part of the horse family. They are known for their speed and agility, which help them to evade predators such as lions and hyenas. In addition to their striped coats, zebras also have long, flowing manes that add to their regal appearance.

In Botswana, zebras can be found in many of the country's national parks and game reserves. One of the most popular places to see them is the Okavango Delta, which is home to a large number of these majestic animals. Visitors to Botswana can enjoy a safari tour to see the zebras up close, and may even have the chance to witness a herd in action as they run across the open plains.",Zebra,botswana,🇧🇼,Africa,Southern Africa,2,18
Bouvet Island,074,,none,bouvet_island,🇧🇻,,,,
Brazil,076,"Brazil is a country famous for its lush rainforests, samba music, and carnival festivals. However, it is also home to one of the most colorful and fascinating birds in the world: the toucan.

Toucans are native to the forests of Brazil and other parts of Central and South America. They are known for their distinctive beaks, which are brightly colored and often larger than the bird's body. The beaks are used for a variety of purposes, including feeding, attracting a mate, and even regulating the bird's body temperature.

Despite their large size and unusual appearance, toucans are excellent fliers and are able to maneuver through the dense forest canopies with ease. They are also quite social and are known to live in large flocks.

In Brazil, toucans are often seen as a symbol of the country's natural beauty and biodiversity. They are featured in many works of art and are even the mascot of a popular brand of Brazilian beer.

Overall, the toucan is a unique and fascinating animal that perfectly captures the vibrant spirit of Brazil.",Toucan,brazil,🇧🇷,Americas,South America,19,5
British Indian Ocean Territory,086,,none,british_indian_ocean_territory,🇮🇴,,,,
Brunei Darussalam,096,"Brunei is a small country located on the island of Borneo in Southeast Asia. Despite its small size, it is home to a diverse range of wildlife, including the unique and fascinating Proboscis Monkey. The Proboscis Monkey is an arboreal primate that is found only on the island of Borneo, making it a truly special and rare animal. It is named after its distinctive large, protruding nose, which is thought to play a role in attracting mates.

The Proboscis Monkey is a fascinating animal to observe, with its distinctive appearance and unusual behaviors. It is a skilled tree climber and spends most of its time in the canopy, where it feeds on leaves, flowers, and fruits. Male Proboscis Monkeys are known for their loud and distinctive calls, which can be heard across the forest. They use these calls to communicate with other members of their group and to attract females during mating season.

Unfortunately, the Proboscis Monkey is classified as endangered due to habitat loss and hunting. The destruction of its natural habitat through deforestation and the expansion of agriculture and urbanization has significantly reduced its numbers in the wild. Conservation efforts are underway to protect the remaining populations and to raise awareness about the importance of preserving this unique species for future generations.

In Brunei, the Proboscis Monkey is considered a national treasure and is protected by law. The country is home to several protected areas, including the Ulu Temburong National Park, where visitors can observe these fascinating creatures in their natural habitat. Overall, the Proboscis Monkey is a unique and important part of Brunei's natural heritage, and efforts to conserve and protect it are vital for the future of this special species.",Proboscis Monkey,brunei,🇧🇳,Asia,South-Eastern Asia,142,35
